accuracy,auc,loss,precision,accuracy_3,precision_3,recall_3,f1_3,accuracy_5,precision_5,recall_5,f1_5,accuracy_7,precision_7,recall_7,f1_7,duration
0.511508, 0.592945, 0.785685, 0.511508, 0.511508, 0.511508, 1.000000, 0.676818, 0.511508, 0.511508, 1.000000, 0.676818, 0.561825, 0.557433, 0.695738, 0.618954, 162
0.746070, 0.827351, 0.496028, 0.777104, 0.716367, 0.687726, 0.816030, 0.746404, 0.746070, 0.777104, 0.706094, 0.739899, 0.744261, 0.959679, 0.521959, 0.676161, 162
0.761408, 0.840059, 0.458902, 0.875463, 0.715876, 0.680235, 0.838872, 0.751271, 0.761408, 0.875463, 0.622038, 0.727307, 0.743044, 0.987936, 0.503801, 0.667307, 162
0.778243, 0.853628, 0.440718, 0.884265, 0.722231, 0.684389, 0.848040, 0.757476, 0.778243, 0.884265, 0.651771, 0.750423, 0.748773, 0.986030, 0.516163, 0.677612, 163
0.784025, 0.862828, 0.426601, 0.861576, 0.733260, 0.693247, 0.858316, 0.767000, 0.784025, 0.861576, 0.688363, 0.765291, 0.769224, 0.974721, 0.563444, 0.714099, 162
0.786275, 0.865725, 0.421580, 0.861246, 0.739189, 0.701450, 0.853289, 0.769955, 0.786275, 0.861246, 0.693972, 0.768613, 0.770095, 0.975401, 0.564779, 0.715353, 162
0.787349, 0.866642, 0.419343, 0.841005, 0.739542, 0.701423, 0.854570, 0.770460, 0.787349, 0.841005, 0.720475, 0.776088, 0.771472, 0.975275, 0.567617, 0.717591, 161
0.787265, 0.866366, 0.419623, 0.864251, 0.731439, 0.687738, 0.869962, 0.768191, 0.787265, 0.864251, 0.692944, 0.769175, 0.772646, 0.972558, 0.571652, 0.720063, 162
0.786442, 0.867108, 0.417777, 0.835037, 0.726333, 0.682210, 0.870464, 0.764925, 0.786442, 0.835037, 0.725893, 0.776650, 0.772332, 0.979468, 0.566790, 0.718059, 163
0.788014, 0.868475, 0.413864, 0.870527, 0.745112, 0.708805, 0.851519, 0.773635, 0.788014, 0.870527, 0.687873, 0.768496, 0.773081, 0.981283, 0.567190, 0.718868, 162
0.788196, 0.868590, 0.413629, 0.855513, 0.749806, 0.717349, 0.843049, 0.775136, 0.788196, 0.855513, 0.704986, 0.772990, 0.773415, 0.981630, 0.567648, 0.719329, 163
0.789290, 0.869161, 0.412661, 0.864029, 0.741185, 0.701527, 0.859846, 0.772660, 0.789290, 0.864029, 0.697887, 0.772122, 0.773477, 0.981760, 0.567693, 0.719400, 163
0.789029, 0.869272, 0.412480, 0.892308, 0.740418, 0.700467, 0.860469, 0.772267, 0.789029, 0.892308, 0.668194, 0.764158, 0.773188, 0.981364, 0.567355, 0.719022, 163
0.789108, 0.869479, 0.412052, 0.905773, 0.741635, 0.701730, 0.860763, 0.773153, 0.789108, 0.905773, 0.655943, 0.760875, 0.773222, 0.981248, 0.567492, 0.719102, 162
0.789650, 0.869658, 0.411609, 0.904867, 0.745688, 0.707939, 0.855936, 0.774934, 0.789650, 0.904867, 0.657936, 0.761893, 0.773477, 0.982086, 0.567497, 0.719330, 162
0.789388, 0.869732, 0.411361, 0.871992, 0.745929, 0.708163, 0.856087, 0.775131, 0.789388, 0.871992, 0.689466, 0.770061, 0.773693, 0.981788, 0.568106, 0.719739, 163
0.789584, 0.869891, 0.411124, 0.905680, 0.744614, 0.706270, 0.857231, 0.774463, 0.789584, 0.905680, 0.657064, 0.761596, 0.773502, 0.982445, 0.567332, 0.719294, 163
0.789397, 0.869705, 0.411325, 0.920843, 0.750277, 0.716965, 0.845611, 0.775992, 0.789397, 0.920843, 0.643595, 0.757652, 0.773436, 0.982537, 0.567145, 0.719169, 162
0.790087, 0.869924, 0.410464, 0.900743, 0.744552, 0.705968, 0.857916, 0.774560, 0.790087, 0.900743, 0.662638, 0.763558, 0.773977, 0.981554, 0.568814, 0.720244, 163
0.789218, 0.869994, 0.410715, 0.928443, 0.752191, 0.720055, 0.843450, 0.776883, 0.789218, 0.928443, 0.637016, 0.755603, 0.773372, 0.982058, 0.567306, 0.719169, 162
0.789841, 0.869821, 0.411046, 0.904733, 0.741885, 0.701449, 0.862471, 0.773670, 0.789841, 0.904733, 0.658474, 0.762207, 0.773952, 0.981043, 0.569072, 0.720313, 163
